"Designator","Mid X","Mid Y","Layer","Rotation"
"C32","164.74mm","-71.73mm","bottom","270.0"
"C31","175.5mm","-77.32mm","bottom","180.0"
"C30","219.06mm","-89.75mm","bottom","0.0"
"C29","205.84mm","-51.03mm","bottom","270.0"
"C28","208.26mm","-70.19mm","bottom","270.0"
"C26","199.29mm","-50.74mm","bottom","180.0"
"C25","200.47mm","-78.24mm","bottom","270.0"
"C23","159.95mm","-54.1mm","bottom","90.0"
"C22","154.45mm","-74.4mm","bottom","0.0"
"C21","148.18mm","-49.53mm","bottom","180.0"
"C20","150.79mm","-65.71mm","bottom","180.0"
"C19","150.85mm","-69.3mm","bottom","0.0"
"C17","145.52mm","-81.73mm","bottom","0.0"
"C16","141.69mm","-50.31mm","bottom","270.0"
"C15","174.0525mm","-52.31mm","bottom","180.0"
"C14","201.72mm","-85.01mm","bottom","180.0"
"C12","215.05mm","-49.43mm","bottom","180.0"
"C11","215.04mm","-47.68mm","bottom","180.0"
"C10","211.49mm","-49.44mm","bottom","0.0"
"C9","169.35mm","-84.87mm","bottom","90.0"
"C8","171.05mm","-84.87mm","bottom","90.0"
"C7","218.93mm","-58.3325mm","bottom","90.0"
"C5","225.63mm","-55.77mm","bottom","270.0"
"C4","223.68mm","-55.77mm","bottom","270.0"
"C2","179.74mm","-86.46mm","bottom","270.0"
